ID,HOUSE_NUMBER,PRE_DIR,STREET_NAME,STREET_TYPE,FULL_ADDRESS_RANGE,BUILDING_NAME1,BUILDING_NAME2,MONTH_VIEW,TOTAL_ROOF_SQFT,VEGETATED_SQFT,FACT_SHEET,LATITUDE,LONGITUDE,LOCATION
142,220,E,CHICAGO,AVE,220-220 E CHICAGO AVE,MUSEUM OF CONTEMPORARY ART, ,August 2010,56320,9966,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_142.pdf,41.8972442,-87.6204638,"(41.89724420, -87.62046380)"
175,26,E,PEARSON,ST,26-26 E PEARSON ST,BAUMHART HALL & TERRY STUDENT CENTER,LOYOLA UNIVERSITY CHICAGO,August 2010,10256,6398,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_175.pdf,41.89780562,-87.62719297,"(41.89780562, -87.62719297)"
135,845,N,KINGSBURY,ST,845-845 N KINGSBURY ST, , ,August 2010,30100,15431,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_135.pdf,41.89852807,-87.64330381,"(41.89852807, -87.64330381)"
302,35,W,DELAWARE,PL,35-35 W DELAWARE PL, , ,August 2010,13057,5299,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_302.pdf,41.89889998,-87.62933745,"(41.89889998, -87.62933745)"
301,10,E,DELAWARE,PL,10-10 E DELAWARE PL, , ,August 2010,11138,2968,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_301.pdf,41.89931967,-87.62787408,"(41.89931967, -87.62787408)"
348,924,N,CLARK,ST,924-924 N CLARK ST, , ,August 2010,4261,957,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_348.pdf,41.89955299,-87.63189495,"(41.89955299, -87.63189495)"
309,901,N,RUSH,ST,901-901 N RUSH ST, , ,August 2010,42324,26497,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_309.pdf,41.8996547,-87.62640595,"(41.89965470, -87.62640595)"
308,900,N,MICHIGAN,AVE,900-900 N MICHIGAN AVE, , ,August 2010,98800,26958,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_308.pdf,41.89973361,-87.62540596,"(41.89973361, -87.62540596)"
184,190,E,WALTON,PL,190-190 E WALTON PL,THE REGENT, ,August 2010,9509,3568,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_184.pdf,41.90029014,-87.62220777,"(41.90029014, -87.62220777)"
300,11,E,OAK,ST,11-15 E OAK ST, , ,August 2010,11253,5737,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_300.pdf,41.90056196,-87.62756771,"(41.90056196, -87.62756771)"
299,947,N,STATE,ST,947-951 N STATE ST, , ,August 2010,5015,2292,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_299.pdf,41.90061714,-87.62806299,"(41.90061714, -87.62806299)"
183,1004,N,CLARK,ST,1004-1030 N CLARK ST,GOLD COAST GALLERIA, ,August 2010,50066,6193,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_183.pdf,41.90110896,-87.63174557,"(41.90110896, -87.63174557)"
088,1140,N,NORTH BRANCH,ST,1140-1140 N NORTH BRANCH ST, , ,August 2010,7944,7897,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_088.pdf,41.90236548,-87.65544705,"(41.90236548, -87.65544705)"
152,5,E,GOETHE,ST,5-5 E GOETHE ST, , ,August 2010,19017,4498,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_152.pdf,41.90555922,-87.62622706,"(41.90555922, -87.62622706)"
153,1301,N,ASTOR,ST,1301-1301 N ASTOR ST, , ,August 2010,3803,504,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_153.pdf,41.90601346,-87.62712487,"(41.90601346, -87.62712487)"
158,1322,N,CLYBOURN,AVE,1322-1322 N CLYBOURN AVE, , ,August 2010,4314,2213,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_158.pdf,41.90608115,-87.64300574,"(41.90608115, -87.64300574)"
008,1466,N,HALSTED,ST,1466-1466 N HALSTED ST,R.E.I. Store, ,August 2010,64084,13647,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_008.pdf,41.90808464,-87.64853878,"(41.90808464, -87.64853878)"
354,1502,N,KINGSBURY,ST,1502-1538 N KINGSBURY ST, , ,August 2010,90475,25711,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_354.pdf,41.90856993,-87.65261877,"(41.90856993, -87.65261877)"
087,1152,W,BLACKHAWK,ST,1152-1152 W BLACKHAWK ST, , ,August 2010,91544,22069,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_087.pdf,41.90859462,-87.65586608,"(41.90859462, -87.65586608)"
160,1561,N,FREMONT,ST,1561-1561 N FREMONT ST, , ,August 2010,108653,9645,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_160.pdf,41.90990012,-87.65017993,"(41.90990012, -87.65017993)"
157,59,W,NORTH,BLVD,59-59 W NORTH BLVD, , ,August 2010,28809,979,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_157.pdf,41.91059815,-87.63123754,"(41.91059815, -87.63123754)"
159,801,W,NORTH,BLVD,801-801 W NORTH BLVD, , ,August 2010,8278,6227,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_159.pdf,41.91062274,-87.64848594,"(41.91062274, -87.64848594)"
154,1555,N,ASTOR,ST,1555-1555 N ASTOR ST,POOL AND TENNIS COURTS AT 1555, ,August 2010,19046,8137,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_154.pdf,41.91072765,-87.62729409,"(41.91072765, -87.62729409)"
